ID WHO city,Region,iso3,Country,City,Location,lon,lat,pm10,Year,Number and type of monitoring stations,note on converted PM10,pm25,note on converted PM2.5,Temporal coverage,for air quality
374,Amr HI,CHL,Chile,Punta Arenas,"Punta Arenas, Chile",-70.9170683,-53.1638329,12,2014,"1 station, NA",converted from PM2.5,5,measured data,PM10: NA; PM2.5:>75%,Ministerio del Medio Ambiente
1819,Wpr HI,NZL,New Zealand,Invercargill,"Invercargill, New Zealand",168.3537731,-46.4131866,24,2012,0,measured data,12,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1815,Wpr HI,NZL,New Zealand,Gore,"Gore, New Zealand",168.945819,-46.0987992,23,2012,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1813,Wpr HI,NZL,New Zealand,Dunedin,"Dunedin, New Zealand",170.5027976,-45.8787605,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
368,Amr HI,CHL,Chile,Coyhaique,"Coyhaique, Chile",-72.068265,-45.5712254,75,2014,"1 station, NA",measured data,64,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
1837,Wpr HI,NZL,New Zealand,Te Anau,"Te Anau, New Zealand",167.718053,-45.4144515,6,2012,0,measured data,3,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1808,Wpr HI,NZL,New Zealand,Alexandra,"Alexandra, New Zealand",169.372381,-45.232815,22,2012,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1843,Wpr HI,NZL,New Zealand,Waimate,"Waimate, New Zealand",171.048135,-44.7326402,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1839,Wpr HI,NZL,New Zealand,Timaru,"Timaru, New Zealand",171.2549729,-44.3969718,28,2012,"1 station, NA",measured data,15,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
1845,Wpr HI,NZL,New Zealand,Washdyke,"Washdyke, New Zealand",171.2384037,-44.3524425,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1814,Wpr HI,NZL,New Zealand,Geraldine,"Geraldine, New Zealand",171.2437353,-44.0911852,20,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1809,Wpr HI,NZL,New Zealand,Ashburton,"Ashburton, New Zealand",171.7485672,-43.9083813,21,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1812,Wpr HI,NZL,New Zealand,Christchurch,"Christchurch, New Zealand",172.6362254,-43.5320544,21,2012,"2 stations, NA",measured data,10,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
1820,Wpr HI,NZL,New Zealand,Kaiapoi,"Kaiapoi, New Zealand",172.6569578,-43.3830321,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1830,Wpr HI,NZL,New Zealand,Rangiora,"Rangiora, New Zealand",172.5957246,-43.303356,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
22,Wpr HI,AUS,Australia,"Hobart, Tasmania","Hobart, Tasmania, Australia",147.323814,-42.881903,14,2013,"1 station, residential",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
1811,Wpr HI,NZL,New Zealand,Blenheim,"Blenheim, New Zealand",173.9612498,-41.5134425,19,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
24,Wpr HI,AUS,Australia,"Launceston, Tasmania","Launceston, Tasmania, Australia",147.1124679,-41.4261807,19,2013,"1 station, Rural (small town)",converted from PM2.5,8,measured data,PM10: NA; PM2.5:<75 % but annually representative,Environment Protection Authority
1831,Wpr HI,NZL,New Zealand,Richmond,"Richmond, New Zealand",173.1838086,-41.3384657,20,2012,0,measured data,10,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1846,Wpr HI,NZL,New Zealand,Wellington,"Wellington, New Zealand",174.776236,-41.2864603,13,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1844,Wpr HI,NZL,New Zealand,Wainuiomata,"Wainuiomata, New Zealand",174.9479051,-41.2633625,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1821,Wpr HI,NZL,New Zealand,Lower Hutt,"Lower Hutt, New Zealand",174.9080557,-41.2091655,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
18,Wpr HI,AUS,Australia,"Devonport, Tasmania","Devonport, Tasmania, Australia",146.3609534,-41.1783532,15,2013,"1 station, residential",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,Environment Protection Authority
1828,Wpr HI,NZL,New Zealand,Porirua,"Porirua, New Zealand",174.8406006,-41.1338998,12,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1842,Wpr HI,NZL,New Zealand,Upper Hutt,"Upper Hutt, New Zealand",175.0707834,-41.1244327,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
21,Wpr HI,AUS,Australia,Gladstone,"Gladstone, Australia",148.0100216,-40.9602197,14,2014,"4 stations, Residential (outer urban)",measured data,5,measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
1822,Wpr HI,NZL,New Zealand,Masterton,"Masterton, New Zealand",175.6573502,-40.9511118,14,2012,"1 station, NA",measured data,12,measured data,PM10: >75%; PM2.5:>75%,Air quality domain report
372,Amr HI,CHL,Chile,Osorno,"Osorno, Chile",-73.1149469,-40.5761897,54,2014,"1 station, NA",measured data,35,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
383,Amr HI,CHL,Chile,Valdivia,"Valdivia, Chile",-73.2425333,-39.8173788,47,2014,"1 station, NA",measured data,29,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
1818,Wpr HI,NZL,New Zealand,Hawkes Bay,"Hawkes Bay, New Zealand",176.7416374,-39.7711616,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1833,Wpr HI,NZL,New Zealand,Taihape,"Taihape, New Zealand",175.7988055,-39.6777329,14,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1817,Wpr HI,NZL,New Zealand,Hastings,"Hastings, New Zealand",176.8392322,-39.6395783,15,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1824,Wpr HI,NZL,New Zealand,Napier,"Napier, New Zealand",176.9120178,-39.4928444,14,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1841,Wpr HI,NZL,New Zealand,Turangi,"Turangi, New Zealand",175.8087485,-38.9898711,10,2012,0,measured data,5,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1834,Wpr HI,NZL,New Zealand,Taumarunui,"Taumarunui, New Zealand",175.260712,-38.8832463,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
373,Amr HI,CHL,Chile,Padre las Casas,"Padre las Casas, Chile",-72.6,-38.7667,64,2014,"1 station, NA",measured data,35,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
382,Amr HI,CHL,Chile,Temuco,"Temuco, Chile",-72.5903739,-38.7359018,50,2014,"2 stations, NA",measured data,31,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
1835,Wpr HI,NZL,New Zealand,Taupo,"Taupo, New Zealand",176.0702098,-38.6856924,13,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1838,Wpr HI,NZL,New Zealand,Te Kuiti,"Te Kuiti, New Zealand",175.1634562,-38.3329835,16,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1840,Wpr HI,NZL,New Zealand,Tokoroa,"Tokoroa, New Zealand",175.8705786,-38.2179652,17,2012,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
23,Wpr HI,AUS,Australia,La Trobe Valley,"La Trobe Valley, Australia",146.8,-38.15,20,2014,"3 stations, NA",measured data,10,measured data,PM10: >75%; PM2.5:>75%,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
19,Wpr HI,AUS,Australia,Geelong,"Geelong, Australia",144.3613479,-38.1485437,18,2014,0,measured data,8,converted from PM10,PM10: >75%; PM2.5:NA,"EPA Victoria, Environment Protection Authority Macleod"
1832,Wpr HI,NZL,New Zealand,Rotorua,"Rotorua, New Zealand",176.2497461,-38.1368478,18,2012,0,measured data,9,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1829,Wpr HI,NZL,New Zealand,Putaruru,"Putaruru, New Zealand",175.7804683,-38.0489883,12,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
27,Wpr HI,AUS,Australia,Melbourne,"Melbourne, Australia",144.96328,-37.814107,19,2014,"2 stations, Residential/Light Industry",measured data,8,measured data,PM10: >75%; PM2.5:NA,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
1823,Wpr HI,NZL,New Zealand,Matamata,"Matamata, New Zealand",175.7764607,-37.8108803,13,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1816,Wpr HI,NZL,New Zealand,Hamilton,"Hamilton, New Zealand",175.279253,-37.7870012,13,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1836,Wpr HI,NZL,New Zealand,Tauranga,"Tauranga, New Zealand",176.1651295,-37.6877975,12,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1827,Wpr HI,NZL,New Zealand,Ngaruawahia,"Ngaruawahia, New Zealand",175.1488373,-37.6674115,13,2012,0,measured data,6,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
1810,Wpr HI,NZL,New Zealand,Auckland,"Auckland, New Zealand",174.7633315,-36.8484597,14,2012,"5 stations, NA",measured data,6,measured data,PM10: >75%; PM2.5:NA,Air quality domain report
8,Wpr HI,AUS,Australia,Albury,"Albury, Australia",146.9164693,-36.0807785,16,2014,0,measured data,7,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
1847,Wpr HI,NZL,New Zealand,Whangarei,"Whangarei, New Zealand",174.323708,-35.7251117,15,2012,0,measured data,7,converted from PM10,PM10: >75%; PM2.5:NA,Air quality domain report
371,Amr HI,CHL,Chile,Maule,"Maule, Chile",-71.5723953,-35.5163603,42,2014,"1 station, NA",measured data,22,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
381,Amr HI,CHL,Chile,Talca,"Talca, Chile",-71.6484804,-35.4232444,49,2014,"2 stations, NA",measured data,25,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
14,Wpr HI,AUS,Australia,Canberra,"Canberra, Australia",149.1286843,-35.2819998,16,2014,"1 station, Monash district playing fields",converted from PM2.5,7,measured data,PM10: NA; PM2.5:>75%,http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf
39,Wpr HI,AUS,Australia,Wagga Wagga,"Wagga Wagga, Australia",147.349649,-35.1250948,21,2014,"1 station, Rural (small town)",measured data,8,measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
7,Wpr HI,AUS,Australia,Albany,"Albany, Australia",117.8847286,-35.0238227,16,2014,0,measured data,7,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
369,Amr HI,CHL,Chile,Curico,"Curico, Chile",-71.2528803,-34.9779853,51,2014,"1 station, NA",measured data,27,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
6,Wpr HI,AUS,Australia,Adelaide,"Adelaide, Australia",138.5999594,-34.9286212,17,2014,"2 stations, Residential (outer urban)",measured data,7,measured data,PM10: NA; PM2.5:NA,Environment Protection Authority
2976,Amr HI,URY,Uruguay,Montevideo,"Montevideo, Uruguay",-56.1645314,-34.9011127,26,2014,"1 station, unspecified",measured data,8,measured data,PM10: <75 % but annually representative; PM2.5:NA,"Informe de Calidad de Aire, Ano 2014, Informe Annual. Intendencia de Montevideo."
5,Amr HI,ARG,Argentina,Buenos Aires,"Buenos Aires, Argentina",-58.3815591,-34.6036844,26,2015,0,measured data,14,converted from PM10,PM10: >75%; PM2.5:NA,"Agencia de Proteccion Ambiental, Buenos Aires"
378,Amr HI,CHL,Chile,San Fernando,"San Fernando, Chile",-70.9907801,-34.5858603,43,2014,0,measured data,20,converted from PM10,PM10: >75%; PM2.5:NA,Ministerio del Medio Ambiente
41,Wpr HI,AUS,Australia,Wollongong,"Wollongong, Australia",150.8931494,-34.4250728,17,2014,"1 station, Residential (outer urban)",measured data,7,measured data,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
377,Amr HI,CHL,Chile,Rengo,"Rengo, Chile",-70.8674411,-34.4023791,49,2014,0,measured data,23,converted from PM10,PM10: >75%; PM2.5:NA,Ministerio del Medio Ambiente
376,Amr HI,CHL,Chile,Rancagua,"Rancagua, Chile",-70.7406259,-34.1701324,75,2014,"2 stations, NA",measured data,30,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
35,Wpr HI,AUS,Australia,Sydney,"Sydney, Australia",151.2069902,-33.8674869,17,2014,"5 stations, Residential (outer urban)",measured data,8,measured data,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
380,Amr HI,CHL,Chile,Talagante,"Talagante, Chile",-70.9273937,-33.6637468,41,2014,"1 station, NA",measured data,19,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
13,Wpr HI,AUS,Australia,Busselton,"Busselton, Australia",115.3446115,-33.6499446,17,2014,"1 station, rural (small town)",converted from PM2.5,7,measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
379,Amr HI,CHL,Chile,Santiago,"Santiago, Chile",-70.6692655,-33.4488897,64,2014,"10 stations, NA",measured data,29,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
10,Wpr HI,AUS,Australia,Bathurst,"Bathurst, Australia",149.5810314,-33.4176529,15,2014,0,measured data,6,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
16,Wpr HI,AUS,Australia,Collie,"Collie, Australia",116.1540412,-33.3588705,19,2014,0,measured data,8,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
12,Wpr HI,AUS,Australia,Bunbury,"Bunbury, Australia",115.6391736,-33.3270685,16,2014,"1 station, rural (small town)",measured data,8,measured data,PM10: NA; PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
15,Wpr HI,AUS,Australia,Central Coast,"Central Coast, Australia",151.1911014,-33.3001337,13,2014,"1 station, race course",converted from PM2.5,6,measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
42,Wpr HI,AUS,Australia,Wyong,"Wyong, Australia",151.4230076,-33.2836287,15,2014,0,measured data,6,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
375,Amr HI,CHL,Chile,Quilpué,"Quilpué, Chile",-71.4408752,-33.0482707,40,2014,"1 station, NA",measured data,18,measured data,PM10: <75 % but annually representative; PM2.5:>75%,Ministerio del Medio Ambiente
384,Amr HI,CHL,Chile,Valparaíso,"Valparaíso, Chile",-71.6126885,-33.047238,34,2014,"1 station, NA",converted from PM2.5,16,measured data,PM10: NA; PM2.5:>75%,Ministerio del Medio Ambiente
40,Wpr HI,AUS,Australia,Whyalla,"Whyalla, Australia",137.5849148,-33.0343994,16,2014,0,measured data,7,converted from PM10,PM10: NA; PM2.5:NA,http://www.epa.sa.gov.au/data_and_publications/air_quality_monitoring
385,Amr HI,CHL,Chile,Vina del Mar,"Vina del Mar, Chile",-71.5500276,-33.0153481,34,2014,"1 station, NA",measured data,13,measured data,PM10: <75 % but annually representative; PM2.5:>75%,Ministerio del Medio Ambiente
31,Wpr HI,AUS,Australia,Newcastle,"Newcastle, Australia",151.7788922,-32.926696,19,2014,0,measured data,8,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
34,Wpr HI,AUS,Australia,Singleton,"Singleton, Australia",151.1753157,-32.5619694,21,2014,0,measured data,9,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
38,Wpr HI,AUS,Australia,Upper Hunter,"Upper Hunter, Australia",137.7811155,-32.5082146,20,2014,"3 stations, NA",converted from PM2.5,8,measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
30,Wpr HI,AUS,Australia,Muswellbrook,"Muswellbrook, Australia",150.888323,-32.2651665,21,2014,0,measured data,9,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
25,Wpr HI,AUS,Australia,Lower Hunter,"Lower Hunter, Australia",150.8844481,-32.2606692,17,2014,"3 stations, high school",converted from PM2.5,7,measured data,PM10: NA; PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
33,Wpr HI,AUS,Australia,Perth,"Perth, Australia",115.8570471,-31.9535132,17,2014,"4 stations, Residential (outer urban)",measured data,8,measured data,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
2166,Afr,ZAF,South Africa,Middleburg,"Middleburg, South Africa",25.017521,-31.506809,24,2014,"1 station, NA",measured data,13,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
36,Wpr HI,AUS,Australia,Tamworth,"Tamworth, Australia",150.9303741,-31.091085,16,2014,0,measured data,7,converted from PM10,PM10: NA; PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
363,Amr HI,CHL,Chile,Andacollo,"Andacollo, Chile",-71.0828027,-30.2357949,67,2014,0,measured data,31,converted from PM10,PM10: >75%; PM2.5:NA,Ministerio del Medio Ambiente
172,Amr LMI,BRA,Brazil,"Canoas, REGIÃO METROPOLITANA DE PORTO ALEGRE","Canoas, REGIÃO METROPOLITANA DE PORTO ALEGRE, Brazil",-51.2176584,-30.0346471,29,2014,0,measured data,13,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
175,Amr LMI,BRA,Brazil,"Charqueadas, REGIÃO METROPOLITANA DE PORTO ALEGRE","Charqueadas, REGIÃO METROPOLITANA DE PORTO ALEGRE, Brazil",-51.2176584,-30.0346471,29,2014,0,measured data,13,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
180,Amr LMI,BRA,Brazil,"Gravataí, REGIÃO METROPOLITANA DE PORTO ALEGRE","Gravataí, REGIÃO METROPOLITANA DE PORTO ALEGRE, Brazil",-51.2176584,-30.0346471,16,2014,0,measured data,7,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
367,Amr HI,CHL,Chile,Coquimbo,"Coquimbo, Chile",-71.3389183,-29.9590009,31,2014,"2 stations, NA",converted from PM2.5,14,measured data,PM10: NA; PM2.5:>75%,Ministerio del Medio Ambiente
2167,Afr,ZAF,South Africa,Mpumalanga,"Mpumalanga, South Africa",30.6314948,-29.8039699,61,2013,"3 stations, NA",measured data,31,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
20,Wpr HI,AUS,Australia,Geraldton,"Geraldton, Australia",114.6096326,-28.7732192,22,2014,0,measured data,10,converted from PM10,PM10: NA; PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
370,Amr HI,CHL,Chile,Huasco,"Huasco, Chile",-71.2192,-28.4664,25,2014,"1 station, NA",converted from PM2.5,11,measured data,PM10: NA; PM2.5:>75%,Ministerio del Medio Ambiente
11,Wpr HI,AUS,Australia,Brisbane,"Brisbane, Australia",153.0234489,-27.4710107,16,2014,"4 stations, Residential (inner urban)",measured data,6,measured data,PM10: >75%; PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
366,Amr HI,CHL,Chile,Copiapó,"Copiapó, Chile",-70.3321587,-27.3665763,47,2014,"1 station, NA",measured data,19,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
2174,Afr,ZAF,South Africa,Zamdela,"Zamdela, South Africa",27.8692376,-26.8662267,56,2014,"1 station, residential",measured data,30,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2171,Afr,ZAF,South Africa,Vereeniging,"Vereeniging, South Africa",27.9014654,-26.5969312,58,2014,"3 stations, NA",measured data,34,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2168,Afr,ZAF,South Africa,Sebokeng,"Sebokeng, South Africa",27.8428651,-26.5768466,42,2014,"1 station, residential",measured data,31,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2169,Afr,ZAF,South Africa,Sekunda,"Sekunda, South Africa",29.1913918,-26.5157792,54,2014,"1 station, NA",measured data,26,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2163,Afr,ZAF,South Africa,Ermelo,"Ermelo, South Africa",29.9856157,-26.5123582,33,2014,"1 station, NA",measured data,16,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2162,Afr,ZAF,South Africa,Diepkloof,"Diepkloof, South Africa",27.9541894,-26.2445833,39,2014,"1 station, traffic, mining, industrial",measured data,22,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2165,Afr,ZAF,South Africa,Johannesburg,"Johannesburg, South Africa",28.0473051,-26.2041028,85,2011,"1 station, background",measured data,41,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2173,Afr,ZAF,South Africa,Witbank,"Witbank, South Africa",29.2553229,-25.8727817,30,2014,"1 station, residential",measured data,16,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
2170,Afr,ZAF,South Africa,Tshwane [Pretoria],"Tshwane [Pretoria], South Africa",28.2292712,-25.7478676,63,2014,0,measured data,51,converted from PM10,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request November 2015)"
2164,Afr,ZAF,South Africa,Hartebeespoort,"Hartebeespoort, South Africa",27.8871784,-25.7477324,119,2014,"1 station, NA",measured data,60,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
167,Amr LMI,BRA,Brazil,Araucária,"Araucária, Brazil",-49.4052251,-25.586431,31,2012,0,measured data,14,converted from PM10,PM10: >75%; PM2.5:NA,"Relatório annual da qualidade do ar na região metropolitana de curitiba, Ano de 2012"
179,Amr LMI,BRA,Brazil,Curitiba,"Curitiba, Brazil",-49.267137,-25.4289541,24,2012,0,measured data,11,converted from PM10,PM10: >75%; PM2.5:NA,"Relatório annual da qualidade do ar na região metropolitana de curitiba, Ano de 2012"
176,Amr LMI,BRA,Brazil,Colombo,"Colombo, Brazil",-49.2266344,-25.2929784,39,2012,0,measured data,18,converted from PM10,PM10: <75 % but annually representative; PM2.5:NA,"Relatório annual da qualidade do ar na região metropolitana de curitiba, Ano de 2012"
1879,Amr LMI,PRY,Paraguay,Asunción,"Asunción, Paraguay",-57.575926,-25.2637399,33,2010,"3 stations, urban",converted from PM2.5,18,measured data,PM10: NA; PM2.5:<75%,"Plan de accion para combustible y vehiculos mas limpios en Paraguay, 2011"
2172,Afr,ZAF,South Africa,Waterberg,"Waterberg, South Africa",28.299435,-23.9747849,37,2014,"3 stations, urban",measured data,18,measured data,PM10: NA; PM2.5:NA,"South African Air Quality Information System, data received upon request (October 2015)"
178,Amr LMI,BRA,Brazil,"Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA","Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA, Brazil",-46.333889,-23.960833,69,2014,0,measured data,31,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
202,Amr LMI,BRA,Brazil,"Santos, REGIÃO METROPOLITANA DA BAIXADA SANTISTA","Santos, REGIÃO METROPOLITANA DA BAIXADA SANTISTA, Brazil",-46.333889,-23.960833,39,2014,"1 station, NA",measured data,18,measured data,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
364,Amr HI,CHL,Chile,Antofagasta,"Antofagasta, Chile",-70.3975022,-23.6509279,40,2014,"1 station, NA",measured data,12,measured data,PM10: >75%; PM2.5:>75%,Ministerio del Medio Ambiente
197,Amr LMI,BRA,Brazil,REGIÃO METROPOLITANA DE SÃO PAULO,"REGIÃO METROPOLITANA DE SÃO PAULO, Brazil",-46.635833,-23.547778,35,2014,"8 stations, NA",measured data,19,measured data,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
206,Amr LMI,BRA,Brazil,"Sorocaba, REGIÃO METROPOLITANA DE SOROCABA","Sorocaba, REGIÃO METROPOLITANA DE SOROCABA, Brazil",-47.4525603,-23.5015299,39,2014,0,measured data,18,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
207,Amr LMI,BRA,Brazil,"Tatuí, REGIÃO METROPOLITANA DE SOROCABA","Tatuí, REGIÃO METROPOLITANA DE SOROCABA, Brazil",-47.4525603,-23.5015299,24,2014,0,measured data,11,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
204,Amr LMI,BRA,Brazil,"São José dos Campos, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE","São José dos Campos, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE, Brazil",-45.9009074,-23.223701,30,2014,0,measured data,14,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
164,Amr LMI,BRA,Brazil,"Americana, REGIÃO METROPOLITANA DE CAMPINAS","Americana, REGIÃO METROPOLITANA DE CAMPINAS, Brazil",-47.0626332,-22.9099384,36,2014,0,measured data,16,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
192,Amr LMI,BRA,Brazil,"Paulínia, REGIÃO METROPOLITANA DE CAMPINAS","Paulínia, REGIÃO METROPOLITANA DE CAMPINAS, Brazil",-47.0626332,-22.9099384,40,2014,0,measured data,18,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
170,Amr LMI,BRA,Brazil,"Campinas, REGIÃO METROPOLITANA DE CAMPINAS","Campinas, REGIÃO METROPOLITANA DE CAMPINAS, Brazil",-47.060833,-22.905833,35,2014,0,measured data,16,converted from PM10,PM10: NA; PM2.5:NA,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente"
